0,1,2,3
03/20/19 17:48:39.736,10.8,1004.2,174.5
03/20/19 17:48:39.839,10.6,1003.2,173.4
03/20/19 17:48:39.942,10.2,1004.8,174.0
03/20/19 17:48:40.045,10.3,1005.5,174.3
03/20/19 17:48:40.149,10.7,1001.3,172.8
03/20/19 17:48:40.251,10.6,1003.7,174.0
03/20/19 17:48:40.354,11.5,1005.9,174.2
03/20/19 17:48:40.458,8.5,1004.7,174.5
03/20/19 17:48:40.561,10.2,998.9,173.2
03/20/19 17:48:40.663,11.6,1004.2,173.9
03/20/19 17:48:40.767,11.1,1000.8,172.7
03/20/19 17:48:40.870,10.1,1005.2,173.9
03/20/19 17:48:40.973,10.4,1002.8,173.0
03/20/19 17:48:41.076,-138.4,943.2,171.0
03/20/19 17:48:41.179,49.0,1020.4,97.5
03/20/19 17:48:41.282,-123.2,1094.0,266.0
03/20/19 17:48:41.386,0.7,1140.9,95.4
03/20/19 17:48:41.488,-57.3,964.2,53.1
03/20/19 17:48:41.591,-120.5,1028.8,277.8
03/20/19 17:48:41.694,40.6,959.9,453.5
03/20/19 17:48:41.798,-32.3,904.4,266.1
03/20/19 17:48:41.900,25.4,912.2,192.6
03/20/19 17:48:41.003,74.2,895.5,137.1
03/20/19 17:48:42.107,365.7,1104.6,-174.1
03/20/19 17:48:42.210,116.9,969.6,447.3
03/20/19 17:48:42.312,218.1,797.7,314.3
03/20/19 17:48:42.416,268.6,887.4,210.1
03/20/19 17:48:42.519,128.6,1041.8,307.6
03/20/19 17:48:42.622,-46.3,943.7,208.2
03/20/19 17:48:42.724,-208.8,1062.2,207.6
03/20/19 17:48:42.828,-90.0,904.8,225.0
03/20/19 17:48:42.931,-29.8,810.1,154.5
03/20/19 17:48:43.034,-278.9,921.8,116.4
03/20/19 17:48:43.137,-237.3,1109.3,81.2
03/20/19 17:48:43.240,-394.9,984.9,53.9
03/20/19 17:48:43.343,-246.1,1755.8,21.2
03/20/19 17:48:43.447,-111.4,967.3,54.5
03/20/19 17:48:43.549,-102.0,987.9,55.3
03/20/19 17:48:43.652,-84.0,1004.9,48.1
03/20/19 17:48:43.755,-84.1,1004.4,44.9
03/20/19 17:48:43.859,-85.8,1006.6,45.6
03/20/19 17:48:43.961,-83.0,1004.2,46.0
03/20/19 17:48:44.064,-83.6,1002.5,45.7
03/20/19 17:48:44.168,-84.8,1005.7,46.2
03/20/19 17:48:44.271,-85.3,1006.6,43.4
03/20/19 17:48:44.373,-89.6,1020.0,47.5
03/20/19 17:48:44.477,-64.2,993.9,54.0
03/20/19 17:48:44.580,-55.1,1007.4,51.9
03/20/19 17:48:44.683,-59.7,1007.5,51.3
