,Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
184,2019-10-22T18:01:49Z, 81.77,-49.24,79.15,0.00,0.60,0.00
185,2019-10-22T18:01:50Z, 81.78,-49.23,79.14,0.00,0.60,0.00
186,2019-10-22T18:01:51Z, 81.80,-49.19,79.11,0.00,0.60,0.00
187,2019-10-22T18:01:52Z, 81.78,-49.19,79.13,0.00,0.60,0.00
188,2019-10-22T18:01:52Z, 81.77,-49.21,79.15,0.00,0.60,0.00
189,2019-10-22T18:01:54Z, 81.77,-49.20,79.13,0.00,0.60,0.00
190,2019-10-22T18:01:54Z, 81.79,-49.19,79.12,0.00,0.60,0.00
191,2019-10-22T18:01:56Z, 81.76,-49.20,79.13,0.00,0.60,0.00
192,2019-10-22T18:01:56Z, 81.76,-49.19,79.13,0.00,0.60,0.00
193,2019-10-22T18:01:58Z, 81.77,-49.18,79.12,0.00,0.60,0.00
194,2019-10-22T18:01:58Z, 81.75,-49.21,79.14,0.00,0.60,0.00
195,2019-10-22T18:01:59Z, 81.75,-49.22,79.15,0.00,0.60,0.00
196,2019-10-22T18:02:01Z, 81.77,-49.21,79.11,0.00,0.60,0.00
197,2019-10-22T18:02:01Z, 81.75,-49.19,79.13,0.00,0.60,0.00
198,2019-10-22T18:02:02Z, 81.75,-49.22,79.13,0.00,0.60,0.00
199,2019-10-22T18:02:03Z, 81.76,-49.19,79.11,0.00,0.60,0.00
200,2019-10-22T18:02:04Z, 81.76,-49.17,79.10,0.00,0.60,0.00
201,2019-10-22T18:02:05Z, 81.74,-49.22,79.13,0.00,0.60,0.00
202,2019-10-22T18:02:06Z, 81.76,-49.26,79.13,0.00,0.60,0.00
203,2019-10-22T18:02:06Z, 81.74,-49.26,79.14,0.00,0.60,0.00
204,2019-10-22T18:02:08Z, 81.74,-49.28,79.16,0.00,0.60,0.00
205,2019-10-22T18:02:09Z, 81.73,-49.26,79.15,0.00,0.60,0.00
206,2019-10-22T18:02:10Z, 81.74,-49.23,79.12,0.00,0.60,0.00
207,2019-10-22T18:02:11Z, 81.74,-49.25,79.13,0.00,0.60,0.00
208,2019-10-22T18:02:12Z, 81.73,-49.24,79.13,0.00,0.60,0.00
209,2019-10-22T18:02:13Z, 81.73,-49.21,79.12,0.00,0.60,0.00
210,2019-10-22T18:02:14Z, 81.73,-49.21,79.12,0.00,0.60,0.00
211,2019-10-22T18:02:15Z, 81.73,-49.23,79.13,0.00,0.60,0.00
212,2019-10-22T18:02:16Z, 81.72,-49.22,79.13,0.00,0.60,0.00
213,2019-10-22T18:02:17Z, 81.73,-49.20,79.12,0.00,0.60,0.00
214,2019-10-22T18:02:18Z, 81.71,-49.22,79.14,0.00,0.60,0.00
215,2019-10-22T18:02:19Z, 81.70,-49.25,79.16,0.00,0.60,0.00
216,2019-10-22T18:02:20Z, 81.69,-49.24,79.17,0.00,0.60,0.00
217,2019-10-22T18:02:21Z, 81.71,-49.21,79.14,0.00,0.60,0.00
218,2019-10-22T18:02:22Z, 81.71,-49.21,79.14,0.00,0.60,0.00
219,2019-10-22T18:02:23Z, 81.70,-49.22,79.14,0.00,0.60,0.00
220,2019-10-22T18:02:24Z, 81.71,-49.21,79.13,0.00,0.60,0.00
221,2019-10-22T18:02:25Z, 81.72,-49.19,79.12,0.00,0.60,0.00
222,2019-10-22T18:02:26Z, 81.72,-49.18,79.11,0.00,0.60,0.00
223,2019-10-22T18:02:27Z, 81.72,-49.19,79.12,0.00,0.60,0.00
224,2019-10-22T18:02:28Z, 81.72,-49.23,79.12,0.00,0.60,0.00
225,2019-10-22T18:02:29Z, 81.71,-49.22,79.12,0.00,0.60,0.00
226,2019-10-22T18:02:30Z, 81.70,-49.23,79.13,0.00,0.60,0.00
227,2019-10-22T18:02:31Z, 81.71,-49.20,79.13,0.00,0.60,0.00
228,2019-10-22T18:02:32Z, 81.70,-49.22,79.13,0.00,0.60,0.00
229,2019-10-22T18:02:33Z, 81.71,-49.18,79.11,0.00,0.60,0.00
230,2019-10-22T18:02:35Z, 81.70,-49.21,79.12,0.00,0.60,0.00
231,2019-10-22T18:02:35Z, 81.70,-49.22,79.12,0.00,0.60,0.00
232,2019-10-22T18:02:37Z, 81.71,-49.22,79.12,0.00,0.60,0.00
233,2019-10-22T18:02:37Z, 81.72,-49.22,79.11,0.00,0.60,0.00
234,2019-10-22T18:02:38Z, 81.70,-49.24,79.13,0.00,0.60,0.00
235,2019-10-22T18:02:39Z, 81.70,-49.22,79.12,0.00,0.60,0.00
236,2019-10-22T18:02:40Z, 81.72,-49.19,79.10,0.00,0.60,0.00
237,2019-10-22T18:02:41Z, 81.71,-49.22,79.11,0.00,0.60,0.00
238,2019-10-22T18:02:42Z, 81.70,-49.25,79.13,0.00,0.60,0.00
239,2019-10-22T18:02:43Z, 81.71,-49.23,79.12,0.00,0.60,0.00
